name,label
20201110161203_196,3
20201118152755_189,2
20201116163603_246,1
20201118110658_74,2
20201119153553_138,2
20201118120459_126,4
20201118174024_79,2
20201109114340_243,4
20201127162207_138,2
20201122154806_271,5
20201117163821_73,5
20201116175857_68,2
20201109155519_169,2
20201112153014_235,1
20201114173903_191,1
20201112160843_147,2
20201129114537_216,3
20201129160624_215,4
20201205121403_76,2
20201125160624_98,2
20201116155943_247,5
20201203094517_155,0
20201205171417_60,2
20201129165415_271,1
20201206150640_226,2
20201129162626_107,2
20201119115251_92,2
20201120142256_161,1
20201126102518_94,0
20201126163006_151,3
20201121171821_233,1
20201110104750_96,2
20201120155234_80,1
20201112120646_130,2
20201128103757_248,2
20210423104818_1319,5
20201127143838_178,0
20201119170947_146,1
20201205111711_217,3
20201127141556_252,2
20201111115321_170,2
20201126171929_82,5
20201202155325_98,1
20201116144920_159,1
20201121125340_217,3
20201206155342_320,3
20201113162218_80,1
20201111154550_206,2
20201115144540_110,1
20201112164931_146,2
20201116151047_272,2
20201112110147_92,1
20201128121215_217,3
20201109162443_178,0
20201111171909_239,1
20201122130013_216,3
20201120144858_252,5
20201111162416_207,1
20201127102157_269,3
20201206104446_216,3
20201129150126_280,2
20201110115320_127,3
20201118170207_110,2
20210422120005_1321,3
20210425181847_1221,5
20201121102111_255,5
20201111150847_148,3
20201206164219_265,3
20201114133006_189,4
20201112122022_133,4
20201112103735_138,2
20201117170841_213,0
20201120104718_301,5
20201127113922_232,0
20201119165613_146,1
20210422170946_1217,3
20201109173350_231,2
20201121144749_245,3
20201115141816_102,5
20201118180529_262,3
20201112141819_139,3
20201118104331_269,2
20201128171722_254,2
20201109101336_142,2
20201119173706_82,0
20201203145747_153,2
20201121151500_236,0
20201127171056_189,4
20201119110507_130,2
20201116165803_178,1
20201202145142_316,4
20201113171316_238,3
20201118163926_239,1
20201122122814_215,5
20201125151426_316,2
20201120154053_108,1
20201121110727_202,1
20201206114511_248,2
20201205114735_101,0
20201123171843_79,1
20201130172746_323,2
20210423115255_1290,3
20210426172653_1245,1
20210423165738_1257,0
20210423155650_1231,2
20210429105701_1283,2
20210423192918_1280,2
20210429145925_1298,5
20210428114656_1246,2
20210425192902_1252,3
20210423105113_1281,2
20210426105648_1264,4
20210428160725_1211,1
20210429105659_1316,1
20210428195719_1259,5
20210429204228_1286,3
20210427190726_1260,5
20210427202937_1300,3
20210428152939_1305,4
20210429112833_1219,1
20210425093852_1295,4
20210427121950_1315,4
20210426161922_1279,2
20210426103219_1293,3
20210422102136_1270,5
20210423170029_1287,5
20210425114419_1309,5
20210427100742_1228,2
20210426143511_1213,5
20210427202640_1291,4
20210423151017_1269,3
20210426150809_1213,0
20210425095812_1278,1
20210429165022_1241,5
20210429193847_1216,4
20210429142620_1229,5
20210430153623_1299,5
20210426113908_1277,5
20210429184431_1284,1
20210429164804_1304,1
20210423093043_1296,5
20210426162552_1230,1
20210428103808_1262,2
20210425110946_1310,2
20210428182740_1261,1
20210422161101_1311,2
20210428165623_1232,5
20210422094542_1220,5
20210429190742_1251,5
20210426183506_1272,5
20210428200718_1266,5
20210423192350_1234,2
20210427095622_1294,2
20210422191250_1288,2
20210428185542_1238,0
20210427194624_1324,1
20210426165412_1306,5
20210429160626_1233,2
20210428111705_1263,5
20210425121205_1303,5
20210430094326_1320,5
20210426191057_1255,4
20210422170853_1250,2
20210426100111_1215,3
20210429200128_1265,0
20210422182119_1314,5
20210422114615_1297,5
20210423180822_1307,2
20210425192137_1222,5
20210425182926_1240,2
20210426181752_1253,5
20210426094345_1274,2
20210428161018_1292,2
20210422162622_1289,1
20210429095247_1273,1
20210422145528_1237,3
20210429181618_1268,3
20210428181550_1317,3
20210430154956_1285,3
20210430113153_1226,5
20210423184310_1214,4
20201114170212_188,2
20210429155844_1313,4
20210422210325_1301,4
20201110164515_197,1
20210423145945_1330,2
20210422182412_1276,5
20210427181438_1236,3
20210428103243_1247,1
20210422150406_1323,5
20201201103116_307,3
20210426115640_1312,2
20201119163524_151,3
20210425113609_1271,3
20201121163338_254,5
20201126115109_92,2
20210423100112_1254,2
20201114112526_117,2
20201129172435_265,2
20210426151509_1322,2
20210430111648_1224,3
20201202105024_100,2
20201110173247_213,2
20210422104225_1248,5
20201122114332_212,3
20210422104934_1225,3
20210430143754_1282,5
20201206102024_215,4
20201111104634_74,0
20201109145500_159,1
20201128151028_234,1
20210423162319_1227,1
20210423111952_1258,5
20201109152644_168,0
20201122162913_265,1
